repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
microsoft/agent-framework	11643	Python	false	false	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1
ChromeDevTools/chrome-devtools-mcp	44390	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0
BeehiveInnovations/pal-mcp-server	11609	Python	false	false	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1
Panniantong/Agent-Reach	40313	Python	false	false	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
op7418/Humanizer-zh	11528	?	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
danny-avila/LibreChat	39760	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0
sirmalloc/ccstatusline	11163	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
router-for-me/CLIProxyAPI	38328	Go	false	false	1	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0
humanlayer/humanlayer	11056	TypeScript	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1
luongnv89/claude-howto	38157	Python	false	false	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1
