repo	n_paths	truncated	adr	specs_dir	prd	requirements_md	roadmap	rfc	changelog	speckit	kiro	openspec	agents_md	claude_md	docs_dir	is_software
aria2/aria2	1470	false	false	false	false	false	false	false	true	false	false	false	false	false	true	false
facebookresearch/faiss	1131	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
google/leveldb	169	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
duckdb/duckdb	16515	false	false	false	false	false	false	false	false	false	false	false	true	true	false	false
google/googletest	282	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
qbittorrent/qBittorrent	1847	false	false	false	false	false	false	false	true	false	false	false	false	false	true	true
aseprite/aseprite	2036	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
nvm-sh/nvm	468	false	false	false	false	false	true	false	false	false	false	false	true	true	false	true
base/node	21	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
pi-hole/pi-hole	115	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
romkatv/powerlevel10k	94	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
sickcodes/Docker-OSX	67	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
dockur/windows	117	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
acmesh-official/acme.sh	295	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
pyenv/pyenv	1908	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
zsh-users/zsh-autosuggestions	71	false	false	true	false	false	false	false	true	false	false	false	false	false	false	true
VSCodium/vscodium	486	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
dokku/dokku	1979	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
community-scripts/ProxmoxVE	1865	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
django/django	10342	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
laravel/laravel	97	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true
nestjs/nest	2760	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
scrapy/scrapy	698	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
nuxt/nuxt	1954	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true
